index,ca,c1,c2,m,f+,f-,f0,fdd,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
94,85.40462423,-0.0257166,-0.08442146,-0.33560252,0.102,0.151,0.126,-0.049,0.40929114,-0.00512633,94.66113779,0.445129053,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.278753601
95,85.40462423,-0.0257166,-0.08442146,-0.43656734,0.108,0.035,0.072,0.073,0.46053275,0.06164732,84.15866478,0.455349655,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.278753601
96,85.40462423,-0.0257166,-0.08442146,-0.45967822,0.142,0.015,0.079,0.127,0.43641481,0.0225181,83.85944155,0.510913623,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.50965048
97,85.40462423,-0.0257166,-0.08442146,-0.45942819,0.142,0.015,0.078,0.127,0.4361639,0.02240485,83.86473501,0.510896152,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.50965048
98,88.15370142,0.11024985,-0.09339,-0.33560252,0.102,0.151,0.126,-0.049,0.40929114,-0.00512633,94.66113779,0.445129053,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.865301426
99,88.15370142,0.11024985,-0.09339,-0.43656734,0.108,0.035,0.072,0.073,0.46053275,0.06164732,84.15866478,0.455349655,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.123384909
100,88.15370142,0.11024985,-0.09339,-0.45967822,0.142,0.015,0.079,0.127,0.43641481,0.0225181,83.85944155,0.510913623,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.278753601
101,88.15370142,0.11024985,-0.09339,-0.45942819,0.142,0.015,0.078,0.127,0.4361639,0.02240485,83.86473501,0.510896152,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.50965048
102,173.6327349,-0.04123879,-0.08695898,-0.33560252,0.102,0.151,0.126,-0.049,0.40929114,-0.00512633,94.66113779,0.445129053,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
103,173.6327349,-0.04123879,-0.08695898,-0.43656734,0.108,0.035,0.072,0.073,0.46053275,0.06164732,84.15866478,0.455349655,313.15,10,1,18,1.1,200,1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.034762106
