Entry,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,kb,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
882,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,25.1,0.719178082,0.401104516,5,637,1,1.51851394,1318.135246,,0.878681781,33,,
883,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,29.9,0.451456311,0.363464706,5,637,1,1.491361694,1489.690722,,0.871910647,31,,
884,C=CCCCCCC,Rh,CCCCCCC1=CC(P->%162C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P->%173C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1.[RhH]%16%17%18.[C-]->%18#[O+],CCCCCCC1=CC(P2C3=CC(C)=CC=C3OC3=C2C=C(C)C=C3)=C2OC3=C(C=C(CCCCCC)C=C3P3C4=CC(C)=CC=C4OC4=C3C=C(C)C=C4)C(C)(C)C2=C1,CC1=CC=CC=C1,353.15,40.3,0.275316456,0.402337419,5,637,1,1.531478917,1345.760981,,0.881914942,34,,
885,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,20,1,2,10,231.5789474,1.9,0.230448921,23.15789474,,0.557468559,1.7,,
886,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,20,1,2,10,310.5263158,1.9,0.230448921,23.28947368,,0.557468559,1.7,,
887,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,20,1,2,10,463.1578947,1.9,0.278753601,53.26315789,,0.569514614,1.9,,
888,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,20,1,2,10,621.0526316,1.9,0.278753601,68.31578947,,0.569514614,1.9,,
889,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,22,1.095238095,2,10,310.5263158,1.9,0.230448921,35.71052632,,0.557468559,1.7,,
890,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,22.7,1.141509434,2,10,310.5263158,1.9,0.255272505,31.05263158,,0.563658979,1.8,,
891,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,30.8,1.905660377,2,10,310.5263158,1.9,0.230448921,26.39473684,,0.557468559,1.7,,
892,C=CCCCCCC,Rh,CCN1C(=O)N(CC)P->%16(C2=CC=CC=C2)N(CC)C1=O.CCN1C(=O)N(CC)P->%17(C2=CC=CC=C2)N(CC)C1=O.[RhH]%16%17%18.[C-]->%18#[O+],CCN1C(=O)N(CC)P(C2=CC=CC=C2)N(CC)C1=O,CC1=CC=CC=C1,314.15,34.8,2.314285714,2,10,310.5263158,1.9,0.255272505,32.60526316,,0.563658979,1.8,,
